0:1 38290:1  58013:1.0  
1:1 23401:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 26643:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 29259:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 31350:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 33243:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 36995:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 38424:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 38513:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 36129:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 37941:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1:1 41498:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
2:1 24709:1  44432:1.0  
3:1 35459:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
3:1 38059:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
3:1 40504:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
3:1 40645:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
4:1 23628:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
