1.0 0:1 38290:1  58013:1.0  
1.0 1:1 23401:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 23785:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 26643:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 29259:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 31350:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 33243:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
